,sar上涨形成趋势,sar上涨停滞趋势,sar下跌形成趋势,sar下跌停滞趋势,平均比--上涨形成,平均比--上涨停滞,平均比--下跌形成,平均比--下跌停滞,趋势类型,趋势类型(加权
2005-01,27,91,707,268,0.11482138895052142,0.3928155850005631,3.0144223639329675,0.7729250523517537,2,2
2005-02,30,65,603,401,0.1275793210561349,0.2805825607146879,2.5709995550941716,1.1565035298248254,2,2
2005-03,111,8,12,968,0.4720434879076992,0.03453323824180774,0.05116417025063028,2.7917591443152894,3,3
2005-04,59,74,838,128,0.2509059980770653,0.31943245373672163,3.5729645558356813,0.3691582339590465,2,2
2005-05,82,46,563,408,0.34871681088676876,0.19856611989039452,2.400452320925404,1.1766918707444607,2,2
2005-06,12,90,272,710,0.05103172842245396,0.3884989302203371,1.1597211923476198,2.047674578991586,3,2
2005-07,68,35,160,827,0.2891797943939058,0.15108291730790888,0.6821889366750704,2.385108277219777,3,3
2005-08,48,41,479,523,0.20412691368981584,0.17698284598926467,2.042303129170992,1.5083574715670416,2,2
2005-09,157,27,27,881,0.667665113527106,0.11654967906610113,0.11511938306391814,2.54084690717125,3,3
2005-10,395,79,83,534,1.6797943939057762,0.34101572763785143,0.3538855109001928,1.5400820072978971,0,1
2005-11,191,352,309,238,0.8122550107240589,1.5194624826395406,1.3174773839537297,0.6864035912676021,1,1
2005-12,262,279,134,410,1.1141927372235783,1.204346683683045,0.5713332344653715,1.182459968150071,1,1
2006-01,269,256,93,467,1.1439612454700097,1.1050636237378477,0.3965223194423847,1.3468507442099589,3,1
2006-02,519,125,46,374,2.207122254271134,0.539581847528246,0.19612931929408275,1.078634214849089,0,1
2006-03,400,297,86,275,1.7010576140817988,1.2820464697271123,0.3666765534628504,0.793113393271389,0,1
2006-04,249,429,198,185,1.0589083647659197,1.8518449007169402,0.8442088091353996,0.5335490100189344,1,1
2006-05,457,223,180,183,1.943458324088455,0.9626140159903908,0.7674625537594543,0.5277809126133243,0,1
2006-06,734,82,13,196,3.121440721840101,0.35396569197852934,0.055427851104849477,0.5652735457497899,0,0
2006-07,473,403,41,119,2.011500628651727,1.739611876431065,0.1748109150229868,0.34320179563380104,0,1
2006-08,236,655,114,39,1.0036239923082613,2.827408881048009,0.4860596173809877,0.11247789940939698,1,1
2006-09,323,490,131,96,1.3736040233710525,2.115160842310724,0.5585421919027139,0.2768686754692849,1,1
2006-10,435,383,43,179,1.8499001553139562,1.6532787808265457,0.1833382767314252,0.5162447178021041,0,1
2006-11,260,570,108,110,1.1056874491531692,2.4604932247288014,0.46047753225567256,0.31724535730855563,1,1
