,Macd连涨趋势,Macd连跌趋势,平均比--Macd连涨趋势,平均比--Macd连跌趋势,趋势类型
2006-02,856,68,1.9588100686498855,0.17604088110487037,8.0
2006-03,903,54,2.066361556064073,0.13979717028916178,8.0
2006-04,882,62,2.0183066361556063,0.1605078621838524,8.0
2006-05,809,61,1.8512585812356979,0.15791902569701607,8.0
2006-06,834,20,1.908466819221968,0.05177672973672658,8.0
2006-07,973,18,2.2265446224256293,0.046599056763053925,8.0
2006-08,892,32,2.0411899313501145,0.08284276757876254,8.0
2006-09,857,81,1.9610983981693364,0.20969575543374266,8.0
2006-10,880,76,2.013729977116705,0.196751572999561,8.0
2006-11,848,73,1.9405034324942791,0.18898506353905203,8.0
2006-12,848,78,1.9405034324942791,0.20192924597323367,8.0
2007-01,874,81,2.0,0.20969575543374266,8.0
2007-02,900,10,2.059496567505721,0.02588836486836329,8.0
2007-03,1003,2,2.2951945080091534,0.0051776729736726585,8.0
2007-04,1018,1,2.329519450800915,0.0025888364868363292,8.0
2007-05,1032,0,2.3615560640732265,0.0,8.0
2007-06,1012,0,2.3157894736842106,0.0,8.0
2007-07,694,0,1.5881006864988558,0.0,8.0
2007-08,689,19,1.5766590389016018,0.04918789324989025,8.0
2007-09,990,5,2.265446224256293,0.012944182434181646,8.0
2007-10,953,5,2.1807780320366135,0.012944182434181646,8.0
2007-11,482,50,1.102974828375286,0.12944182434181645,8.0
2007-12,200,485,0.4576659038901602,1.2555856961156195,2.0
2008-01,229,233,0.5240274599542334,0.6031989014328647,4.0
2008-02,347,206,0.7940503432494279,0.5333003162882838,5.0
2008-03,345,375,0.7894736842105263,0.9708136825636234,4.0
2008-04,105,408,0.2402745995423341,1.0562452866292222,2.0
2008-05,58,862,0.13272311212814644,2.231577051652916,0.0
2008-06,62,872,0.14187643020594964,2.257465416521279,0.0
2008-07,8,913,0.018306636155606407,2.3636077124815684,0.0
2008-08,7,986,0.016018306636155607,2.5525927760206204,0.0
2008-09,4,1002,0.009153318077803204,2.5940141598100017,0.0
2008-10,6,1038,0.013729977116704805,2.6872122733361095,0.0
2008-11,2,1042,0.004576659038901602,2.697567619283455,0.0
2008-12,2,1029,0.004576659038901602,2.6639127449545827,0.0
2009-01,9,1005,0.020594965675057208,2.6017806692705108,0.0
2009-02,32,859,0.07322654462242563,2.223810542192407,0.0
2009-03,159,531,0.36384439359267734,1.3746721745100907,2.0
2009-04,495,65,1.1327231121281465,0.1682743716443614,7.0
2009-05,958,38,2.192219679633867,0.0983757864997805,8.0
2009-06,959,42,2.194508009153318,0.10873113244712583,8.0
2009-07,992,28,2.2700228832951943,0.07248742163141722,8.0
2009-08,1022,17,2.3386727688787183,0.04401022027621759,8.0
2009-09,667,17,1.5263157894736843,0.04401022027621759,8.0
2009-10,598,257,1.368421052631579,0.6653309771169366,5.0
2009-11,736,81,1.6842105263157894,0.20969575543374266,8.0
2009-12,980,6,2.242562929061785,0.015533018921017975,8.0
2010-01,1020,5,2.334096109839817,0.012944182434181646,8.0
2010-02,840,41,1.9221967963386728,0.1061422959602895,8.0
2010-03,820,145,1.8764302059496567,0.37538129059126774,7.0
2010-04,852,108,1.9496567505720823,0.27959434057832355,7.0
2010-05,487,132,1.1144164759725401,0.34172641626239547,6.0
2010-06,215,543,0.4919908466819222,1.4057382123521267,2.0
2010-07,73,819,0.16704805491990846,2.1202570827189535,0.0
2010-08,87,728,0.19908466819221968,1.8846729624168477,1.0
2010-09,297,420,0.6796338672768879,1.0873113244712582,4.0
2010-10,501,336,1.1464530892448512,0.8698490595770066,4.0
2010-11,551,205,1.2608695652173914,0.5307114798014475,6.0
2010-12,565,199,1.2929061784897025,0.5151784608804295,6.0
2011-01,406,375,0.9290617848970252,0.9708136825636234,4.0
2011-02,239,533,0.5469107551487414,1.3798498474837635,3.0
2011-03,293,410,0.6704805491990846,1.061422959602895,4.0
2011-04,485,295,1.1098398169336385,0.7637067636167171,5.0
2011-05,377,383,0.8627002288329519,0.9915243744583141,4.0
2011-06,180,570,0.41189931350114417,1.4756367974967077,2.0
2011-07,169,700,0.38672768878718533,1.8121855407854304,1.0
2011-08,222,631,0.5080091533180778,1.6335558231937237,2.0
